length_x,length_y,cmd_raw_x,cmd_raw_y
-1,-45,-0.408064106666659,-8.98186872793406
-2.81668763803891e-15,-46,-0.308012821333332,-9.19157414558681
1,-47,0.391997435733333,-9.39119742911736
2.00000000000001,-47,0.491999487146667,-9.40046648582347
3,-48,0.591999897429336,-9.5907488971647
4,-49,0.691999979485866,-9.79112317943294
5,-50,0.791999995897173,-9.99115263588659
6,-51,0.891999999179434,-10.1911585271773
7.00000000000001,-51,0.991999999835887,-10.2004587054355
9.00000000000001,-52,1.18337299996718,-10.3907473410871
10,-53,1.29254699999344,-10.5911228682174
11,-53,1.39206399999869,-10.6004515736435
12,-53,1.49201279999974,-10.6000449147287
13,-53,1.59200255999995,-10.6000089829457
15,-53,1.78337351199999,-10.6000017965891
16,-53,1.8925471024,-10.6000003593178
17,-53,1.99206402048,-10.6000000718636
19,-53,2.183385804096,-10.6000000143727
20,-53,2.2925495608192,-10.6000000028745
22,-52,2.48343751216384,-10.4092990005749
23,-51,2.59255990243277,-10.208886400115
25,-51,4.9818996166822,-10.199550280023
26,-50,5.19158032333644,-10.0092544560046
27,-49,5.39119866466729,-9.80887749120092
28,-48,5.59116773293346,-9.60884749824018
29,-47,5.7911615465867,-9.40884149964804
30,-46,5.99116030931734,-9.20884029992961
31,-44,6.19116006186347,-8.81813905998592
32,-42,6.39116001237269,-8.41772641199718
33,-41,6.59116000247454,-8.20839028239944
34,-39,6.79116000049491,-7.81809445647989
35,-37,6.99116000009898,-7.41771749129598
35,-35,7.0004590000198,-7.0176874982592
36,-33,7.19074740000396,-6.61768149965184
37,-31,7.39112288000079,-6.21768029993036
37,-29,7.40045157600016,-5.81768005998608
38,-27,7.59074591520003,-5.41768001199722
38,-24,7.60042158304001,-2.72462700413697
39,-22,7.790739916608,-2.51545300082739
39,-20,7.80039974695797,-2.31437120677705
39,-18,7.80003867666432,-2.11608665457855
39,-16,7.80000773533286,-1.91600907637026
39,-13,7.80000154706657,-1.62462881527405
40,-11,7.99070130941332,-1.41545336305481
40,-9.00000000000001,8.00041266188266,-1.21593607261096
40,-7,8.00003713237653,-1.01598721452219
40,-4,8.00000742647531,-0.72462444290444
40,-1.99999999999999,8.00000148529506,-0.515452488580888
40,4.89858719658941e-15,8.00000029705901,-0.315935897716144
40,3.00000000000001,8.0000000594118,0.575385820456763
40,5,8.00000001188236,0.784549564091352
40,7,8.00000000237647,0.98406451281827
40,9.00000000000001,8.00000000047529,1.18401290256365
39,11,7.80929900009506,1.38400258051273
39,13,7.79958740001901,1.58400051610255
38,15,7.6092618800038,1.78400010322051
38,17,7.59957997600076,1.9840000206441
37,19,7.40926039520016,2.18400000412882
37,21,7.39957967904003,2.38400000082577
36,23,7.20926033580801,2.58400000016515
35,24,7.0088786671616,2.69262700003303
34,26,6.80884773343232,5.18190740000383
33,28,6.60884154668646,5.58228288000077
32,30,6.40884030933729,5.98231257600016
31,31,6.20884006186746,6.19161751520003
30,33,6.00884001237349,6.58190710304001
29,34,5.8088400024747,6.791581820608
28,35,5.60884000049494,6.9911989641216
27,37,5.40884000009898,7.38186879282433
25,38,2.81662700003413,7.59157415856486
24,39,2.70745300000683,7.79119743171297
22,39,2.51656300000137,7.80046648634259
21,40,2.40744020000027,7.99074889726852
20,40,2.30793344000005,8.0004221794537
18,41,2.11661368800001,8.19074003589074
17,42,2.0074503376,8.39112140717815
16,42,1.90793546752,8.40045128143563
15,42,1.807987093504,8.40004485628713
14,43,1.7079974187008,8.59070997125743
12,43,1.51662648374016,8.60041439425149
11,43,1.40745289674803,8.6000374788503
9,43,1.21656297934961,8.60000749577006
8.00000000000001,43,1.10744019586992,8.60000149915401
7,43,1.00793343917398,8.6000002998308
6.00000000000001,43,0.907986687834798,8.60000005996616
4.00000000000001,42,0.716624337566961,8.40929901199323
4.00000000000001,42,0.698866740240665,8.39960803876228
1.00000000000001,42,0.425736893502681,8.39996288047973
-2.51052593825207e-15,41,0.306957178700521,8.20929157609595
-1,40,-0.392117764259892,8.00888491521919
-2,40,-0.492023552851978,7.99954998304384
-4,39,-0.6833777105704,7.80925439660877
-5,38,-0.792547942114078,7.60887747932175
-5.99999999999999,37,-0.892064188422815,7.40884749586435
-7,36,-0.992012837684562,7.20884149917287
-8,35,-1.09200256753691,7.00884029983457
-9,33,-1.19200051350738,6.61813905996691
-10,32,-1.29200010270148,6.40842741199338
-11,31,-1.39200002054029,6.20880288239868
-12,29,-1.49200000410806,5.81813157647974
-14,28,-1.68337300082161,5.60842591529595
-15,26,-1.79254700016432,5.21810158305918
-16,25,-1.89206400003286,2.80744009760662
-17,23,-1.99201280000657,2.61656041952132
-18,21,-2.09200256000131,2.41606668390427
-19,19,-2.19200051200026,2.21601333678085
-20,17,-2.29200010240005,2.01600266735617
-21,16,-2.39200002048001,1.90737353347123
-22,14,-2.492000004096,1.71654710669425
-23,12,-2.5920000008192,1.51606402133885
-24,10,-2.69200000016384,1.31601280426777
-26,7,-5.18186100001901,1.02462956085355
-27,5,-5.3915726000038,0.815453512170712
-28,3,-5.59119712000076,0.615936102434143
-29,1,-5.79116742400015,0.415987220486829
-30,-2,-5.99116148480003,-0.475375555902633
-31,-5,-6.19116029696001,-0.775920511180533
-33,-7,-6.581861059392,-0.984611102236104
-34,-10,-6.7915726118784,-1.27544982044722
-34,-12,-6.80049612237568,-1.48456236408944
-36,-15,-7.18145582447513,-1.77544007281789
-37,-18,-7.39153696489503,-2.07593341456358
-38,-21,-7.59118999297901,-2.37598668291271
-38,-24,-7.6004649985958,-2.67599733658254
-39,-27,-7.79074859971916,-5.37347969104357
-40,-29,-7.99112311994383,-5.78277893820871
-41,-32,-8.19115262398877,-6.37306738764175
-42,-35,-8.39115852479775,-6.97344287752835
-42,-38,-8.40045870495955,-7.57347257550567
-43,-41,-8.59074734099191,-8.17347851510113
-43,-44,-8.60040123183474,-8.77601016583015
-44,-47,-8.7896787267261,-9.37025246046937
-44,-50,-8.80044330987945,-9.97613098183982
-45,-53,-8.99074380339003,-10.5733778189575
-45,-56,-9.00042116067801,-11.1734719456097
-46,-59,-9.1907398321356,-11.7734783891219
-46,-63,-9.20042036642712,-12.5641806778244
-46,-66,-9.20003867328542,-13.1738925355649
-47,-69,-9.39070873465709,-13.773517107113
-47,-72,-9.40041414693142,-14.3734874214226
-47,-75,-9.40003742938628,-14.9734814842845
-48,-78,-9.59070848587726,-15.5734802968569
-48,-80,-9.60041409717545,-15.9827790593714
-48,-82,-9.60003741943509,-16.3823664118743
-47,-83,-9.40930648388702,-16.5916282823749
-47,-84,-9.39958889677741,-16.791208256475
-47,-86,-9.39996317935548,-17.181870651295
-46,-87,-9.2092916358711,-17.391574530259
-46,-88,-9.19958592717422,-17.5911975060518
-46,-90,-9.19996258543484,-17.9818685012104
-46,-91,-9.19999251708697,-18.1915741002421
-45,-92,-9.00929750341739,-18.3911974200484
-45,-94,-8.99958710068348,-18.7818684840097
-45,-95,-8.9999628201367,-18.9915740968019
-45,-96,-8.99999256402734,-19.1911974193604
-44,-97,-8.80929751280547,-19.3911674838721
-44,-97,-8.79958710256109,-19.4004604967744
-43,-98,-8.60926182051222,-19.5907476993549
-42,-99,-8.40887896410244,-19.791122939871
-42,-99,-8.39954879282049,-19.8004515879742
-42,-99,-8.3999551585641,-19.8000449175948
-41,-99,-8.20929003171282,-19.800008983519
-41,-99,-8.19958560634256,-19.8000017967038
-42,-102,-8.39066352126851,-20.3721033593408
-41,-100,-8.2097041042537,-20.0198358718681
-42,-99,-8.39032402085074,-19.8085851743736
-42,-99,-8.40038260417015,-19.7995354348747
-42,-100,-8.40003112083403,-19.9906534869749
-42,-101,-8.40000622416681,-20.191104097395
-42,-101,-8.40000124483336,-20.200447819479
-42,-100,-8.40000024896667,-20.0093431638958
-42,-100,-8.40000004979333,-19.9995962327792
-42,-100,-8.40000000995867,-19.9999646465558
-42,-100,-8.40000000199173,-19.9999929293112
-42,-100,-8.40000000039835,-19.9999985858622
-42,-100,-8.40000000007967,-19.9999997171724
-42,-100,-8.40000000001593,-19.9999999434345
-42,-100,-8.40000000000319,-19.9999999886869
-42,-100,-8.40000000000064,-19.9999999977374
-42,-100,-8.40000000000013,-19.9999999995475
-42,-100,-8.40000000000003,-19.9999999999095
-42,-100,-8.40000000000001,-19.9999999999819
-42,-100,-8.4,-19.9999999999964
-42,-100,-8.4,-19.9999999999993
-42,-100,-8.4,-19.9999999999999
